Year,Ohio,Indiana,Michigan,Kansas,Illinois
2005,275.2453948,237.388699,193.621782,72.774211,246.0321942
2006,267.62767,234.9272903,182.0506493,72.97261444,237.5198847
2007,271.2206391,234.556329,184.0356947,80.81165277,245.0962453
2008,263.9702604,230.3032331,177.7673423,75.39051487,243.7451767
2009,238.6764926,207.0273399,166.5279985,73.55984177,228.2756422
2010,250.1969303,219.2957218,167.0459061,73.20581632,233.1297035
2011,238.2101266,211.7741723,161.6585759,71.32553308,231.8141194
2012,218.4960801,197.3557924,155.1329567,66.63949515,219.3751446
2013,232.4989626,202.591031,163.7361417,70.2917992,232.5705641
2014,234.3569267,207.945714,163.567087,70.49105476,235.4120725
2015,215.3839855,188.4001893,163.7535558,64.74630317,217.7869036
2016,207.409731,182.8540518,152.6020434,62.40428282,205.1901717
